Experiment,Accuracy,F1,ROC_AUC,LogLoss,Note
Random Split - LightGBM Tuned,0.9793039878058828,0.8874954511099292,0.9932407098515486,0.05477417331565187,Optimistic / not leakage-safe
Time-Aware Simple - LightGBM,0.8117069704210266,0.11443877724011993,0.6391679329169225,0.38239637743883853,Leakage-safe baseline
Time-Aware Simple - Tuned XGBoost,0.809247548817665,0.11438544480837737,0.6432683589855297,0.37730401356779536,Final selected model
